feature,coef,abs_coef
visitor_Bombe 2,1257.0452611545631,1257.0452611545631
visitor_Bombe 1,-1170.7499154831605,1170.7499154831605
population,702.775298966037,702.775298966037
visitor_Bombe 7,-694.0096988375342,694.0096988375342
visitor_Bombe 5,421.3937127318294,421.3937127318294
mean_dow,-404.7314129938393,404.7314129938393
visitor_Bombe 6,324.352319521075,324.352319521075
m_202510,-250.38984591452154,250.38984591452154
m_202509,-239.9388706062979,239.9388706062979
visitor_Bombe 4,-236.37205379008216,236.37205379008216
m_202508,142.92191405431385,142.92191405431385
visitor_Bombe 3,137.72318032895464,137.72318032895464
